rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,data
1484918273662767932,,719,,1484918273,654050951,'',0
1484918273761085500,,720,,1484918273,754050951,'',0
1484918273859454068,,721,,1484918273,854050951,'',0
1484918273961825994,,722,,1484918273,954050951,'',0
1484918274060114018,,723,,1484918274,54050951,'',0
1484918274162381448,,724,,1484918274,154050951,'',0
1484918274260959056,,725,,1484918274,254050951,'',0
1484918274359054864,,726,,1484918274,352766040,'',0
1484918274463452630,,727,,1484918274,452766040,'',0
1484918274559929854,,728,,1484918274,552766040,'',0
1484918274662013575,,729,,1484918274,652766040,'',0
1484918274760337432,,730,,1484918274,752766040,'',0
1484918274862874045,,731,,1484918274,852766040,'',0
1484918274961488026,,732,,1484918274,952766040,'',0
1484918275059554290,,733,,1484918275,52766040,'',0
1484918275161908899,,734,,1484918275,152766040,'',0
1484918275260243376,,735,,1484918275,252766040,'',0
1484918275362583717,,736,,1484918275,352766040,'',0
1484918275461093897,,737,,1484918275,452766040,'',0
1484918275563928351,,738,,1484918275,552766040,'',0
1484918275661526819,,739,,1484918275,652766040,'',0
1484918275759992275,,740,,1484918275,752766040,'',0
1484918275862792217,,741,,1484918275,852766040,'',0
1484918275960518029,,742,,1484918275,952766040,'',0
1484918276062827063,,743,,1484918276,52766040,'',0
1484918276161304255,,744,,1484918276,152766040,'',0
1484918276263525328,,745,,1484918276,252766040,'',0
1484918276362056317,,746,,1484918276,352766040,'',0
1484918276460507193,,747,,1484918276,452766040,'',0
1484918276562600479,,748,,1484918276,552766040,'',0
1484918276660884903,,749,,1484918276,652766040,'',0
1484918276763342700,,750,,1484918276,752766040,'',0
1484918276861691169,,751,,1484918276,854156902,'',0
1484918276960033289,,752,,1484918276,954156902,'',0
1484918277062384346,,753,,1484918277,54156902,'',0
1484918277160771623,,754,,1484918277,154156902,'',0
1484918277262949928,,755,,1484918277,254156902,'',0
1484918277361447328,,756,,1484918277,354156902,'',0
1484918277463627890,,757,,1484918277,454156902,'',0
1484918277562221482,,758,,1484918277,554156902,'',0
1484918277664278792,,759,,1484918277,654156902,'',0
1484918277762711416,,760,,1484918277,754156902,'',0
1484918277861036568,,761,,1484918277,854156902,'',0
1484918277963387878,,762,,1484918277,954156902,'',0
1484918278061768866,,763,,1484918278,54156902,'',0
