rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,data
1484918815561088984,,591,,0,0,'',1
1484918816585017508,,592,,0,0,'',1
1484918817574476092,,593,,0,0,'',1
1484918818590517145,,594,,0,0,'',1
1484918819593835626,,595,,0,0,'',1
1484918820623447868,,596,,0,0,'',1
1484918821606307398,,597,,0,0,'',1
1484918822633709371,,598,,0,0,'',1
1484918823635287479,,599,,0,0,'',1
1484918824617257401,,600,,0,0,'',1
1484918825618198141,,601,,0,0,'',1
1484918826623627603,,602,,0,0,'',1
1484918827682812330,,603,,0,0,'',1
1484918828593004672,,604,,0,0,'',1
1484918829580586924,,605,,0,0,'',1
1484918830552944363,,606,,0,0,'',1
1484918831577817995,,607,,0,0,'',1
1484918832582430040,,608,,0,0,'',1
1484918833537873773,,609,,0,0,'',1
1484918834603609555,,610,,0,0,'',1
1484918835708323617,,611,,0,0,'',1
1484918836595806240,,612,,0,0,'',1
1484918837617707123,,613,,0,0,'',1
1484918838575925509,,614,,0,0,'',1
1484918839556375330,,615,,0,0,'',1
1484918840584640043,,616,,0,0,'',1
1484918841545946702,,617,,0,0,'',1
1484918842599432664,,618,,0,0,'',1
1484918843561757139,,619,,0,0,'',1
1484918844555249333,,620,,0,0,'',1
1484918845545378082,,621,,0,0,'',1
1484918846567338953,,622,,0,0,'',1
1484918847567110748,,623,,0,0,'',1
1484918848569636881,,624,,0,0,'',1
1484918849538388571,,625,,0,0,'',1
1484918850556853864,,626,,0,0,'',1
1484918851563635583,,627,,0,0,'',1
1484918852585535566,,628,,0,0,'',1
1484918853581491480,,629,,0,0,'',1
1484918854585872129,,630,,0,0,'',1
1484918855591968191,,631,,0,0,'',1
1484918856605917067,,632,,0,0,'',1
1484918857623524889,,633,,0,0,'',1
1484918858596828072,,634,,0,0,'',1
1484918859666730123,,635,,0,0,'',1
1484918860535137024,,636,,0,0,'',1
1484918861557835019,,637,,0,0,'',1
1484918862604588390,,638,,0,0,'',1
1484918863564390609,,639,,0,0,'',1
1484918864623585572,,640,,0,0,'',1
1484918865578839813,,641,,0,0,'',1
1484918866541404673,,642,,0,0,'',1
1484918867590355052,,643,,0,0,'',1
1484918868558918738,,644,,0,0,'',1
1484918869594872478,,645,,0,0,'',1
1484918870624873915,,646,,0,0,'',1
1484918871611296667,,647,,0,0,'',1
1484918872529680872,,648,,0,0,'',1
1484918873562053546,,649,,0,0,'',1
1484918874507379836,,650,,0,0,'',1
1484918875561846150,,651,,0,0,'',1
1484918876582748536,,652,,0,0,'',1
1484918877611281870,,653,,0,0,'',1
1484918878569777924,,654,,0,0,'',1
1484918879560472785,,655,,0,0,'',1
1484918880578659522,,656,,0,0,'',-1
1484918881554487386,,657,,0,0,'',-1
1484918882569369683,,658,,0,0,'',-1
1484918883596223160,,659,,0,0,'',-1
1484918884538320500,,660,,0,0,'',-1
1484918885554255065,,661,,0,0,'',-1
1484918886546760127,,662,,0,0,'',-1
1484918887600179032,,663,,0,0,'',-1
1484918888549362291,,664,,0,0,'',-1
1484918889587726352,,665,,0,0,'',-1
1484918890539686592,,666,,0,0,'',-1
1484918891578131064,,667,,0,0,'',-1
1484918892624019607,,668,,0,0,'',-1
1484918893561700371,,669,,0,0,'',-1
1484918894574129926,,670,,0,0,'',-1
1484918895616373384,,671,,0,0,'',-1
1484918896616504040,,672,,0,0,'',-1
1484918897593045160,,673,,0,0,'',-1
1484918898577029223,,674,,0,0,'',-1
1484918899572159129,,675,,0,0,'',-1
1484918900547183665,,676,,0,0,'',-1
1484918901628913507,,677,,0,0,'',-1
1484918902611868521,,678,,0,0,'',-1
1484918903558859584,,679,,0,0,'',-1
1484918904570441111,,680,,0,0,'',-1
1484918905565585274,,681,,0,0,'',-1
1484918906555111034,,682,,0,0,'',-1
1484918907542949582,,683,,0,0,'',-1
1484918908637254673,,684,,0,0,'',-1
1484918909626856957,,685,,0,0,'',-1
1484918910617005122,,686,,0,0,'',-1
1484918911605036246,,687,,0,0,'',-1
1484918912593292226,,688,,0,0,'',-1
1484918913584031534,,689,,0,0,'',-1
1484918914577047988,,690,,0,0,'',-1
1484918915578260336,,691,,0,0,'',-1
1484918916558088017,,692,,0,0,'',-1
1484918917549829302,,693,,0,0,'',-1
1484918918545905757,,694,,0,0,'',-1
1484918919544571776,,695,,0,0,'',-1
1484918920596988693,,696,,0,0,'',-1
1484918921620453669,,697,,0,0,'',-1
1484918922604190735,,698,,0,0,'',-1
1484918923564610990,,699,,0,0,'',-1
1484918924556552831,,700,,0,0,'',-1
1484918925556586035,,701,,0,0,'',-1
1484918926548374876,,702,,0,0,'',-1
1484918927545744811,,703,,0,0,'',-1
1484918928547718920,,704,,0,0,'',-1
1484918929539182057,,705,,0,0,'',-1
1484918930608680859,,706,,0,0,'',-1
1484918931582809631,,707,,0,0,'',-1
1484918932575682720,,708,,0,0,'',-1
1484918933578770141,,709,,0,0,'',-1
1484918934660407836,,710,,0,0,'',-1
1484918935607197454,,711,,0,0,'',-1
1484918936599617603,,712,,0,0,'',-1
1484918937531046365,,713,,0,0,'',-1
