rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,data
1490536592339518319,,3,,1490536592,338449001,'',0
1490536592439717716,,4,,1490536592,438453912,'',0
1490536592539765445,,5,,1490536592,538650989,'',0
1490536592639536958,,6,,1490536592,638462066,'',0
1490536592739755326,,7,,1490536592,738445043,'',0
1490536592839631815,,8,,1490536592,838447093,'',0
1490536592939696116,,9,,1490536592,938436985,'',0
1490536593039987925,,10,,1490536593,38525104,'',0
1490536593139449010,,11,,1490536593,138468027,'',0
1490536593239772618,,12,,1490536593,238410949,'',0
1490536593339345027,,13,,1490536593,338449954,'',0
1490536593439543116,,14,,1490536593,438457965,'',0
1490536593539496537,,15,,1490536593,538471937,'',0
1490536593639757542,,16,,1490536593,638462066,'',0
1490536593739658162,,17,,1490536593,738471031,'',0
1490536593839416859,,18,,1490536593,838463068,'',0
1490536593940331444,,19,,1490536593,938460111,'',0
1490536594039404017,,20,,1490536594,38454055,'',0
1490536594139712097,,21,,1490536594,138392925,'',0
1490536594239404938,,22,,1490536594,238445043,'',0
1490536594339586059,,23,,1490536594,338438034,'',0
1490536594439556532,,24,,1490536594,438431024,'',0
1490536594539722209,,25,,1490536594,538467884,'',0
1490536594639572069,,26,,1490536594,638465881,'',0
1490536594739586666,,27,,1490536594,738442897,'',0
1490536594839570315,,28,,1490536594,838443994,'',0
1490536594939596684,,29,,1490536594,938463926,'',0
1490536595039619860,,30,,1490536595,38465023,'',0
1490536595139557921,,31,,1490536595,138395071,'',0
1490536595239959134,,32,,1490536595,238450050,'',0
1490536595339593979,,33,,1490536595,338443994,'',0
1490536595439758012,,34,,1490536595,438446044,'',0
1490536595539507324,,35,,1490536595,538439989,'',0
1490536595639991697,,36,,1490536595,638997077,'',0
1490536595739407266,,37,,1490536595,738457918,'',0
1490536595839386199,,38,,1490536595,838445901,'',0
1490536595939962768,,39,,1490536595,938519954,'',0
1490536596040215084,,40,,1490536596,38984060,'',0
1490536596139362549,,41,,1490536596,138467073,'',0
1490536596239277390,,42,,1490536596,238378047,'',0
1490536596339508755,,43,,1490536596,338437080,'',0
1490536596439542251,,44,,1490536596,438452005,'',0
1490536596539734232,,45,,1490536596,538614988,'',0
1490536596639869477,,46,,1490536596,638684034,'',0
1490536596739587170,,47,,1490536596,738446950,'',0
1490536596839597135,,48,,1490536596,838448047,'',0
1490536596939602707,,49,,1490536596,938445091,'',0
1490536597039607032,,50,,1490536597,38450002,'',0
1490536597140160501,,51,,1490536597,138447046,'',0
1490536597239596746,,52,,1490536597,238462924,'',0
1490536597339574982,,53,,1490536597,338440895,'',0
1490536597440110487,,54,,1490536597,438486099,'',0
1490536597539618048,,55,,1490536597,538530111,'',0
1490536597639834065,,56,,1490536597,638542890,'',0
1490536597739502906,,57,,1490536597,738444089,'',0
1490536597839645770,,58,,1490536597,838449001,'',0
1490536597939609343,,59,,1490536597,938447952,'',0
1490536598039607464,,60,,1490536598,38451910,'',0
1490536598139876905,,61,,1490536598,138437032,'',0
1490536598239595641,,62,,1490536598,238440990,'',0
1490536598339900062,,63,,1490536598,338454961,'',0
1490536598439636655,,64,,1490536598,438469886,'',0
1490536598539499404,,65,,1490536598,538470983,'',0
1490536598640445969,,66,,1490536598,638489961,'',0
1490536598740486534,,67,,1490536598,738533973,'',0
1490536598839381134,,68,,1490536598,838459968,'',0
1490536598939740347,,69,,1490536598,938555002,'',0
1490536599039612144,,70,,1490536599,38444995,'',0
1490536599139752321,,71,,1490536599,138596057,'',0
1490536599239627717,,72,,1490536599,238457918,'',0
1490536599339599858,,73,,1490536599,338450908,'',0
1490536599439567511,,74,,1490536599,438443899,'',0
1490536599539659556,,75,,1490536599,538443088,'',0
1490536599639652384,,76,,1490536599,638461112,'',0
1490536599739520977,,77,,1490536599,738487005,'',0
1490536599839324338,,78,,1490536599,838442087,'',0
1490536599939633103,,79,,1490536599,938431024,'',0
1490536600039318887,,80,,1490536600,38383007,'',0
1490536600139464440,,81,,1490536600,138492107,'',0
1490536600239202929,,82,,1490536600,238349914,'',0
1490536600339329642,,83,,1490536600,338463068,'',0
1490536600439349687,,84,,1490536600,438451051,'',0
1490536600539546227,,85,,1490536600,538691997,'',0
1490536600639235420,,86,,1490536600,638464927,'',0
1490536600739500265,,87,,1490536600,738436937,'',0
1490536600839499598,,88,,1490536600,838440895,'',0
1490536600939920131,,89,,1490536600,938462018,'',0
1490536601039668363,,90,,1490536601,38521051,'',0
1490536601139677128,,91,,1490536601,138453006,'',0
1490536601240092093,,92,,1490536601,238451957,'',0
1490536601339527390,,93,,1490536601,338450908,'',0
1490536601439278142,,94,,1490536601,438488006,'',0
1490536601539487859,,95,,1490536601,538460016,'',0
1490536601639649984,,96,,1490536601,638464927,'',0
1490536601739663429,,97,,1490536601,738465070,'',0
1490536601839652682,,98,,1490536601,838445901,'',0
1490536601939628950,,99,,1490536601,938452959,'',59
1490536602039552251,,100,,1490536602,38449048,'',68
1490536602139578896,,101,,1490536602,138426065,'',75
1490536602239301425,,102,,1490536602,238460063,'',76
1490536602339581222,,103,,1490536602,338452100,'',72
1490536602439655770,,104,,1490536602,438656091,'',76
1490536602539599759,,105,,1490536602,538518905,'',74
1490536602639195820,,106,,1490536602,638453006,'',69
1490536602739648573,,107,,1490536602,738452911,'',69
1490536602839760694,,108,,1490536602,838445901,'',69
1490536602939618690,,109,,1490536602,938443899,'',70
1490536603039334439,,110,,1490536603,38449048,'',66
1490536603139612364,,111,,1490536603,138447999,'',64
1490536603239618597,,112,,1490536603,238442897,'',63
1490536603339610705,,113,,1490536603,338442087,'',65
1490536603439421314,,114,,1490536603,438441991,'',66
1490536603539703679,,115,,1490536603,538466930,'',66
1490536603639656620,,116,,1490536603,638468980,'',67
1490536603740202337,,117,,1490536603,738506078,'',70
1490536603840192801,,118,,1490536603,838619947,'',70
1490536603939642102,,119,,1490536603,938529014,'',68
1490536604039721475,,120,,1490536604,38564920,'',66
1490536604139515632,,121,,1490536604,138573884,'',66
1490536604239601652,,122,,1490536604,238440036,'',67
1490536604339793537,,123,,1490536604,338629961,'',64
1490536604439595206,,124,,1490536604,438446998,'',66
1490536604539628055,,125,,1490536604,538450002,'',67
1490536604639637096,,126,,1490536604,638463020,'',62
