rosbagTimestamp,data
1490536598564914044,0.0
1490536598656761150,0.0
1490536598745277007,0.0
1490536598833022680,0.0
1490536599014783392,0.0
1490536599108233482,0.0
1490536599206141670,0.0
1490536599295379508,0.0
1490536599384475349,0.0
1490536599477372131,0.0
1490536599571080138,0.0
1490536599662134284,0.0
1490536599763229289,0.0
1490536599855382539,0.0
1490536599953027411,0.0
1490536600073202843,0.0
1490536600171574519,0.0
1490536600264516253,0.0
1490536600357060272,0.0
1490536600448210322,0.0
1490536600541078580,0.0
1490536600720365611,0.0
1490536600817317159,0.0
1490536600910742229,0.0
1490536601009631094,0.0
1490536601101972900,0.0
1490536601194012282,0.0
1490536601295209347,0.0
1490536601390347454,0.0
1490536601485175661,0.0
1490536601575631031,0.0
1490536601668939042,0.0
1490536601764400501,0.0
1490536601876106042,50.0
1490536601965831067,50.0
1490536602065265260,50.0
1490536602160632411,50.0
1490536602269357979,50.0
1490536602359215760,50.0
1490536602444483624,50.0
1490536602533757221,50.0
1490536602712439944,50.0
1490536602801965565,50.0
1490536602893127183,50.0
1490536602985330209,50.0
1490536603083501245,50.0
1490536603178262084,50.0
1490536603270478215,50.0
1490536603370185119,50.0
1490536603464096670,50.0
1490536603559372225,50.0
1490536603670427822,50.0
1490536603744533054,50.0
1490536603835434596,50.0
1490536604014694639,50.0
1490536604107909433,50.0
1490536604205436477,50.0
1490536604306100202,50.0
1490536604396603128,50.0
1490536604491035095,50.0
1490536604583790001,50.0
1490536604684055386,50.0
1490536604773973792,50.0
1490536604870885319,50.0
1490536604974811293,50.0
1490536605079316700,50.0
1490536605177652172,50.0
1490536605271549047,50.0
1490536605367221046,50.0
1490536605473243841,50.0
1490536605572495393,50.0
1490536605645652457,50.0
1490536605738854604,50.0
1490536605913567317,50.0
1490536606008846796,50.0
1490536606100381326,50.0
1490536606195003973,50.0
1490536606287893124,50.0
1490536606379155986,50.0
1490536606470717792,50.0
1490536606567978436,50.0
1490536606662501603,50.0
1490536606754399397,50.0
1490536606846879095,50.0
1490536606939494754,50.0
1490536607120014893,50.0
1490536607212506315,50.0
1490536607305146273,50.0
1490536607398704676,50.0
1490536607494344959,50.0
1490536607585709077,50.0
1490536607677046903,50.0
1490536607769663750,50.0
1490536607867161706,50.0
1490536607958780020,50.0
1490536608055720539,50.0
1490536608147921970,50.0
1490536608244368257,50.0
1490536608345305318,50.0
1490536608500594849,50.0
1490536608587239654,50.0
1490536608674908694,50.0
1490536608763473595,50.0
1490536608859627419,50.0
1490536608948904988,50.0
1490536609059153404,50.0
1490536609142829072,50.0
1490536609298693019,50.0
1490536609385884508,50.0
1490536609478689862,50.0
1490536609567497451,50.0
1490536609667319112,50.0
1490536609774213575,50.0
1490536609848219003,50.0
1490536609945016591,50.0
1490536610042942263,50.0
1490536610134753885,50.0
1490536610314618368,50.0
1490536610406230322,50.0
1490536610501014621,50.0
1490536610592385963,50.0
1490536610685264481,50.0
1490536610779079780,50.0
1490536610871577131,50.0
1490536610969308367,50.0
1490536611068358571,50.0
1490536611163759094,50.0
1490536611256695933,50.0
1490536611358504326,50.0
1490536611445050815,50.0
1490536611544774927,50.0
1490536611661612630,50.0
1490536611823486527,50.0
1490536611917142273,50.0
1490536612015563558,50.0
1490536612110402649,50.0
1490536612204421359,50.0
1490536612297516262,50.0
1490536612388991212,50.0
1490536612481226806,50.0
1490536612573481816,50.0
1490536612665292671,50.0
1490536612763768267,50.0
1490536612855596173,50.0
1490536612954541113,50.0
1490536613047224344,50.0
1490536613144578060,50.0
1490536613233578813,50.0
1490536613409166542,50.0
1490536613501976541,50.0
1490536613595904148,50.0
1490536613687656442,50.0
1490536613778409399,50.0
1490536613871734750,50.0
1490536613968597702,50.0
1490536614064672493,50.0
1490536614159274236,50.0
1490536614255299780,50.0
1490536614346093922,50.0
1490536614442481109,50.0
1490536614615982794,50.0
1490536614708355608,50.0
1490536614800706379,50.0
1490536614891850860,50.0
1490536614982128042,50.0
1490536615077119497,50.0
1490536615169768744,50.0
1490536615271504453,50.0
1490536615371201494,50.0
1490536615466886861,50.0
1490536615560275608,50.0
1490536615658784348,50.0
1490536615755977900,50.0
1490536615847277194,50.0
1490536615953260652,50.0
1490536616064331153,50.0
1490536616159677688,50.0
1490536616255074779,50.0
1490536616348988346,50.0
1490536616442024965,50.0
1490536616533827935,50.0
1490536616712190629,50.0
1490536616803044243,50.0
1490536616893592565,50.0
1490536616984530335,50.0
1490536617079167046,50.0
1490536617174148025,50.0
1490536617269452296,50.0
1490536617367605872,50.0
1490536617460172858,50.0
1490536617556792438,50.0
1490536617647075224,50.0
1490536617746608368,50.0
1490536617836719134,50.0
1490536618022724511,50.0
1490536618110299976,50.0
1490536618205885851,50.0
1490536618301014814,50.0
1490536618393214720,50.0
1490536618482888158,50.0
1490536618570938991,50.0
1490536618667423798,50.0
1490536618762423965,50.0
1490536618857090292,50.0
1490536618947494314,50.0
1490536619042535689,50.0
1490536619146083711,50.0
1490536619236211109,50.0
1490536619405881120,50.0
1490536619500923551,50.0
1490536619586376623,50.0
1490536619675629905,50.0
1490536619769810604,50.0
1490536619866781603,50.0
1490536619964418219,50.0
1490536620059793543,50.0
1490536620152091105,50.0
1490536620258349052,50.0
1490536620345740532,50.0
1490536620436417242,50.0
1490536620613306624,50.0
1490536620706153679,50.0
1490536620801650982,50.0
1490536620894759216,50.0
1490536620987095755,50.0
1490536621085847831,50.0
1490536621180016098,50.0
1490536621273637933,50.0
1490536621365776591,50.0
1490536621463491111,50.0
1490536621556016061,50.0
1490536621649836580,50.0
1490536621741972754,50.0
1490536621844341800,50.0
1490536621936745838,50.0
1490536622121811279,50.0
1490536622216006846,50.0
1490536622307995936,50.0
1490536622401944590,50.0
1490536622493999585,50.0
1490536622586111447,50.0
1490536622678150145,50.0
1490536622773211512,50.0
1490536622866871807,50.0
1490536622969780721,50.0
1490536623068540285,50.0
1490536623170011118,50.0
1490536623267131062,50.0
1490536623365053566,50.0
1490536623458044357,50.0
1490536623551227423,50.0
1490536623644397122,50.0
1490536623744364319,50.0
1490536623842705431,50.0
1490536623935298241,50.0
1490536624071039694,50.0
1490536624167921245,50.0
1490536624287137205,75.0
1490536624475369290,75.0
1490536624566178432,75.0
1490536624658391130,75.0
1490536624753100921,75.0
1490536624846289148,75.0
1490536625029786164,75.0
1490536625037515787,75.0
1490536625191738121,75.0
1490536625378469006,75.0
1490536625473927718,75.0
1490536625565140707,75.0
1490536625657077622,75.0
1490536625749634192,75.0
1490536625928236647,75.0
1490536625934864405,75.0
1490536626072734802,75.0
1490536626166435333,75.0
1490536626283884399,75.0
1490536626359049292,75.0
1490536626452626654,75.0
1490536626545158025,75.0
1490536626725699776,75.0
1490536626820212143,75.0
1490536626914460138,75.0
1490536627009427689,75.0
1490536627101561223,75.0
1490536627194257726,75.0
1490536627288746549,75.0
1490536627382717463,75.0
1490536627482319908,75.0
1490536627587181006,75.0
1490536627671235010,75.0
1490536627767593925,75.0
1490536627861892080,75.0
1490536627959372204,75.0
1490536628059695261,75.0
1490536628152274992,75.0
1490536628247628127,75.0
1490536628426982418,75.0
1490536628516670435,75.0
1490536628604733388,75.0
1490536628696993306,75.0
1490536628786854004,75.0
1490536628875844509,75.0
1490536628971196888,75.0
1490536629069265552,75.0
1490536629163002707,75.0
1490536629259307155,75.0
1490536629363608561,75.0
1490536629515622451,75.0
1490536629603835031,75.0
1490536629695186345,75.0
1490536629784261331,75.0
1490536629883962631,75.0
1490536629987521753,75.0
1490536630084711693,75.0
1490536630179434696,75.0
1490536630284592327,75.0
1490536630370671919,75.0
1490536630464868542,75.0
1490536630560495121,75.0
1490536630654103384,75.0
1490536630746949946,75.0
1490536630928200646,75.0
1490536631026740526,75.0
1490536631122588145,75.0
1490536631218676497,75.0
1490536631316469233,75.0
1490536631408957403,75.0
1490536631506841339,75.0
1490536631597151305,75.0
1490536631692243380,75.0
1490536631786316271,75.0
1490536631880714470,75.0
1490536631980075882,75.0
1490536632086332845,75.0
1490536632181176664,75.0
1490536632274458587,75.0
1490536632368039430,75.0
1490536632460318872,75.0
1490536632553208670,75.0
1490536632643664352,75.0
1490536632825839496,75.0
1490536632921946231,75.0
1490536633017772695,75.0
1490536633114600306,75.0
1490536633207913765,75.0
1490536633302929220,75.0
1490536633395953023,75.0
1490536633491367526,75.0
1490536633584047336,75.0
1490536633684971065,75.0
1490536633778902512,75.0
1490536633871741935,75.0
1490536633964386885,75.0
1490536634070014568,75.0
1490536634187427370,75.0
1490536634278889840,75.0
1490536634361122123,75.0
1490536634455646250,75.0
1490536634547324564,75.0
1490536634727834563,75.0
1490536634822887422,75.0
1490536634915293885,75.0
1490536635009501944,75.0
1490536635105411027,75.0
1490536635201733535,75.0
1490536635296743398,75.0
1490536635392370829,75.0
1490536635486381404,75.0
1490536635579476486,75.0
1490536635678006431,75.0
1490536635779304476,75.0
1490536635880530713,75.0
1490536635967055085,75.0
1490536636066713150,75.0
1490536636166467515,75.0
1490536636260084226,75.0
1490536636353490000,75.0
1490536636447993043,75.0
1490536636628408470,75.0
1490536636721378153,75.0
1490536636818035760,75.0
1490536636912466515,75.0
1490536637008538103,75.0
1490536637104845754,75.0
1490536637198681417,75.0
1490536637293515804,75.0
1490536637387592823,75.0
1490536637480908154,75.0
