rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,twist,linear,x,y,z,angular,x,y,z
1490536596795350564,,47,,1490536596,788050951,'',,,2.63342484352e-15,0.0,0.0,,0.0,0.0,8.10284567237e-14
1490536596896832869,,48,,1490536596,888050951,'',,,1.84339739046e-15,0.0,0.0,,0.0,0.0,5.67199197066e-14
1490536597001584852,,49,,1490536596,988050951,'',,,1.29037817332e-15,0.0,0.0,,0.0,0.0,3.97039437946e-14
1490536597097501807,,50,,1490536597,88050951,'',,,9.03264721327e-16,0.0,0.0,,0.0,0.0,2.77927606562e-14
1490536597195497211,,51,,1490536597,188050951,'',,,6.32285304929e-16,0.0,0.0,,0.0,0.0,1.94549324594e-14
1490536597294207084,,52,,1490536597,289330947,'',,,4.4259971345e-16,0.0,0.0,,0.0,0.0,1.36184527215e-14
1490536597396548853,,53,,1490536597,389330947,'',,,3.09819799415e-16,0.0,0.0,,0.0,0.0,9.53291690508e-15
1490536597494843261,,54,,1490536597,489330947,'',,,2.16873859591e-16,0.0,0.0,,0.0,0.0,6.67304183356e-15
1490536597597201027,,55,,1490536597,589330947,'',,,1.51811701713e-16,0.0,0.0,,0.0,0.0,4.67112928349e-15
1490536597695597471,,56,,1490536597,690330947,'',,,1.06268191199e-16,0.0,0.0,,0.0,0.0,3.26979049844e-15
1490536597797906133,,57,,1490536597,790330947,'',,,7.43877338396e-17,0.0,0.0,,0.0,0.0,2.28885334891e-15
1490536597896277941,,58,,1490536597,890330947,'',,,5.20714136877e-17,0.0,0.0,,0.0,0.0,1.60219734424e-15
1490536598000988379,,59,,1490536597,990330947,'',,,3.64499895814e-17,0.0,0.0,,0.0,0.0,1.12153814097e-15
1490536598097896319,,60,,1490536598,90330947,'',,,2.5514992707e-17,0.0,0.0,,0.0,0.0,7.85076698676e-16
1490536598199191808,,61,,1490536598,190330947,'',,,1.78604948949e-17,0.0,0.0,,0.0,0.0,5.49553689073e-16
1490536598297290688,,62,,1490536598,290330947,'',,,1.25023464264e-17,0.0,0.0,,0.0,0.0,3.84687582351e-16
1490536598395513685,,63,,1490536598,390330947,'',,,8.75164249849e-18,0.0,0.0,,0.0,0.0,2.69281307646e-16
1490536598498330174,,64,,1490536598,490330947,'',,,6.12614974895e-18,0.0,0.0,,0.0,0.0,1.88496915352e-16
1490536598597113919,,65,,1490536598,590330947,'',,,4.28830482426e-18,0.0,0.0,,0.0,0.0,1.31947840747e-16
1490536598698951736,,66,,1490536598,691330947,'',,,3.00181337698e-18,0.0,0.0,,0.0,0.0,9.23634885226e-17
1490536598797431700,,67,,1490536598,791330947,'',,,2.10126936389e-18,0.0,0.0,,0.0,0.0,6.46544419658e-17
1490536598899473770,,68,,1490536598,891330947,'',,,1.47088855472e-18,0.0,0.0,,0.0,0.0,4.52581093761e-17
1490536599000709583,,69,,1490536598,991330947,'',,,1.02962198831e-18,0.0,0.0,,0.0,0.0,3.16806765632e-17
1490536599099970556,,70,,1490536599,91330947,'',,,7.20735391814e-19,0.0,0.0,,0.0,0.0,2.21764735943e-17
1490536599198530944,,71,,1490536599,191330947,'',,,5.0451477427e-19,0.0,0.0,,0.0,0.0,1.5523531516e-17
1490536599301808558,,72,,1490536599,291330947,'',,,3.53160341989e-19,0.0,0.0,,0.0,0.0,1.08664720612e-17
1490536599399196690,,73,,1490536599,391330947,'',,,2.47212239392e-19,0.0,0.0,,0.0,0.0,7.60653044283e-18
1490536599497281410,,74,,1490536599,491330947,'',,,1.73048567574e-19,0.0,0.0,,0.0,0.0,5.32457130998e-18
1490536599599784063,,75,,1490536599,591330947,'',,,1.21133997302e-19,0.0,0.0,,0.0,0.0,3.72719991699e-18
1490536599698352564,,76,,1490536599,691330947,'',,,8.47937981115e-20,0.0,0.0,,0.0,0.0,2.60903994189e-18
1490536599800726553,,77,,1490536599,793932094,'',,,5.93556586781e-20,0.0,0.0,,0.0,0.0,1.82632795932e-18
1490536599899082425,,78,,1490536599,893932094,'',,,4.15489610746e-20,0.0,0.0,,0.0,0.0,1.27842957153e-18
1490536600003503208,,79,,1490536599,994932094,'',,,2.90842727522e-20,0.0,0.0,,0.0,0.0,8.94900700069e-19
1490536600099407467,,80,,1490536600,93932094,'',,,2.03589909266e-20,0.0,0.0,,0.0,0.0,6.26430490048e-19
1490536600201762593,,81,,1490536600,193932094,'',,,1.42512936486e-20,0.0,0.0,,0.0,0.0,4.38501343034e-19
1490536600300447877,,82,,1490536600,293932094,'',,,9.97590555402e-21,0.0,0.0,,0.0,0.0,3.06950940124e-19
1490536600398796405,,83,,1490536600,393932094,'',,,6.98313388781e-21,0.0,0.0,,0.0,0.0,2.14865658087e-19
1490536600501228127,,84,,1490536600,493932094,'',,,4.88819372147e-21,0.0,0.0,,0.0,0.0,1.50405960661e-19
1490536600599450379,,85,,1490536600,593932094,'',,,3.42173560503e-21,0.0,0.0,,0.0,0.0,1.05284172462e-19
1490536600701859661,,86,,1490536600,693932094,'',,,2.39521492352e-21,0.0,0.0,,0.0,0.0,7.36989207237e-20
1490536600800173641,,87,,1490536600,794932094,'',,,1.67665044646e-21,0.0,0.0,,0.0,0.0,5.15892445066e-20
1490536600902436942,,88,,1490536600,894932094,'',,,1.17365531252e-21,0.0,0.0,,0.0,0.0,3.61124711546e-20
1490536601001456787,,89,,1490536600,994932094,'',,,8.21558718767e-22,0.0,0.0,,0.0,0.0,2.52787298082e-20
1490536601106901661,,90,,1490536601,94932094,'',,,5.75091103137e-22,0.0,0.0,,0.0,0.0,1.76951108658e-20
1490536601202143389,,91,,1490536601,194932094,'',,,4.02563772196e-22,0.0,0.0,,0.0,0.0,1.2386577606e-20
1490536601304325246,,92,,1490536601,294932094,'',,,2.81794640537e-22,0.0,0.0,,0.0,0.0,8.67060432422e-21
1490536601402849706,,93,,1490536601,394932094,'',,,1.97256248376e-22,0.0,0.0,,0.0,0.0,6.06942302696e-21
1490536601500522646,,94,,1490536601,494932094,'',,,1.38079373863e-22,0.0,0.0,,0.0,0.0,4.24859611887e-21
1490536601602690500,,95,,1490536601,594932094,'',,,9.66555617043e-23,0.0,0.0,,0.0,0.0,2.97401728321e-21
1490536601701400312,,96,,1490536601,694932094,'',,,6.7658893193e-23,0.0,0.0,,0.0,0.0,2.08181209825e-21
1490536601803233258,,97,,1490536601,795932094,'',,,4.73612252351e-23,0.0,0.0,,0.0,0.0,1.45726846877e-21
1490536601902261718,,98,,1490536601,895932094,'',,,3.31528576646e-23,0.0,0.0,,0.0,0.0,1.02008792814e-21
1490536602004527648,,99,,1490536601,995932094,'',,,0.0306305575841,0.0,0.0,,0.0,0.0,0.942478694895
1490536602102711200,,100,,1490536602,95932094,'',,,0.113333063061,0.0,0.0,,0.0,0.0,3.48717117111
1490536602204687953,,101,,1490536602,195932094,'',,,0.35500750514,0.0,0.0,,0.0,0.0,10.9233078505
1490536602302984702,,102,,1490536602,297715082,'',,,0.669820444294,0.0,0.0,,0.0,0.0,20.6098598244
1490536602401334658,,103,,1490536602,397715082,'',,,0.713918771678,0.0,0.0,,0.0,0.0,21.9667314363
1490536602503995843,,104,,1490536602,497715082,'',,,0.928570946352,0.0,0.0,,0.0,0.0,28.5714137339
1490536602602097640,,105,,1490536602,597715082,'',,,1.17071789989,0.0,0.0,,0.0,0.0,36.0220892272
1490536602704532397,,106,,1490536602,697715082,'',,,1.2483303361,0.0,0.0,,0.0,0.0,38.4101641876
1490536602809532432,,107,,1490536602,798715082,'',,,1.29841252,0.0,0.0,,0.0,0.0,39.9511544616
1490536602905265835,,108,,1490536602,898715082,'',,,1.33771657018,0.0,0.0,,0.0,0.0,41.1605098516
1490536603003317303,,109,,1490536602,998715082,'',,,1.48775032112,0.0,0.0,,0.0,0.0,45.7769329575
1490536603105861129,,110,,1490536603,98715082,'',,,1.56214470371,0.0,0.0,,0.0,0.0,48.0659908835
1490536603204708737,,111,,1490536603,198715082,'',,,1.61422077153,0.0,0.0,,0.0,0.0,49.6683314316
1490536603306637155,,112,,1490536603,298715082,'',,,1.55878132384,0.0,0.0,,0.0,0.0,47.9625022721
1490536603405078563,,113,,1490536603,398715082,'',,,1.55060529045,0.0,0.0,,0.0,0.0,47.7109320139
1490536603503539531,,114,,1490536603,498715082,'',,,1.54488097164,0.0,0.0,,0.0,0.0,47.5347991275
