rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,data
1473509645077886758,,10158,,1473509645,66708034,'',0
1473509645082306816,,10159,,1473509645,76708034,'',0
1473509645090694063,,10160,,1473509645,86708034,'',0
1473509645102685823,,10161,,1473509645,95708034,'',0
1473509645110295817,,10162,,1473509645,105708034,'',0
1473509645118501792,,10163,,1473509645,115708034,'',0
1473509645130932476,,10164,,1473509645,124708034,'',0
1473509645138947710,,10165,,1473509645,133708034,'',0
1473509645147183901,,10166,,1473509645,143708034,'',0
1473509645159412349,,10167,,1473509645,152708034,'',0
1473509645167622824,,10168,,1473509645,162708034,'',0
1473509645175806166,,10169,,1473509645,171708034,'',0
1473509645188192331,,10170,,1473509645,181708034,'',0
1473509645196504661,,10171,,1473509645,190708034,'',0
1473509645204408248,,10172,,1473509645,200708034,'',0
1473509645212781107,,10173,,1473509645,210708034,'',0
1473509645225101835,,10174,,1473509645,219708034,'',0
1473509645233218841,,10175,,1473509645,228708034,'',0
1473509645241294844,,10176,,1473509645,237708034,'',0
1473509645253517472,,10177,,1473509645,248708034,'',0
1473509645261792387,,10178,,1473509645,257708034,'',0
1473509645270219629,,10179,,1473509645,266708034,'',0
1473509645282246033,,10180,,1473509645,276708034,'',0
1473509645290460252,,10181,,1473509645,286708034,'',0
1473509645299003547,,10182,,1473509645,295708034,'',0
1473509645310969315,,10183,,1473509645,305708034,'',0
1473509645319114845,,10184,,1473509645,314708034,'',0
1473509645327281736,,10185,,1473509645,323708034,'',0
1473509645339744376,,10186,,1473509645,333708034,'',0
1473509645347733715,,10187,,1473509645,343708034,'',0
1473509645355986598,,10188,,1473509645,353708034,'',0
1473509645368292218,,10189,,1473509645,361708034,'',0
1473509645376438612,,10190,,1473509645,372708034,'',0
1473509645384696547,,10191,,1473509645,381708034,'',0
1473509645397016591,,10192,,1473509645,390708034,'',0
1473509645405150326,,10193,,1473509645,400708034,'',0
1473509645413419456,,10194,,1473509645,409708034,'',0
1473509645425678264,,10195,,1473509645,419708034,'',0
1473509645433798907,,10196,,1473509645,428708034,'',0
1473509645442113158,,10197,,1473509645,438708034,'',0
1473509645454290570,,10198,,1473509645,447708034,'',0
1473509645462582104,,10199,,1473509645,457708034,'',0
1473509645470743247,,10200,,1473509645,467708034,'',0
1473509645483021195,,10201,,1473509645,476708034,'',0
1473509645491184474,,10202,,1473509645,485708034,'',0
1473509645499443369,,10203,,1473509645,494708034,'',0
1473509645511665997,,10204,,1473509645,505708034,'',0
1473509645519855819,,10205,,1473509645,514708034,'',0
1473509645528065070,,10206,,1473509645,523708034,'',0
1473509645540355558,,10207,,1473509645,533708034,'',0
1473509645548571721,,10208,,1473509645,543708034,'',0
1473509645556708155,,10209,,1473509645,552708034,'',0
1473509645569281819,,10210,,1473509645,562708034,'',0
1473509645577221190,,10211,,1473509645,571708034,'',0
1473509645585416341,,10212,,1473509645,580708034,'',0
1473509645597653909,,10213,,1473509645,591708034,'',0
1473509645605876311,,10214,,1473509645,600708034,'',0
1473509645614065318,,10215,,1473509645,609708034,'',0
1473509645622281685,,10216,,1473509645,618708034,'',0
1473509645634540265,,10217,,1473509645,629708034,'',0
1473509645642795116,,10218,,1473509645,638708034,'',0
1473509645651037354,,10219,,1473509645,647708034,'',0
1473509645663216182,,10220,,1473509645,657708034,'',0
1473509645671474009,,10221,,1473509645,666708034,'',0
1473509645683649633,,10222,,1473509645,679708034,'',0
1473509645691863336,,10223,,1473509645,688708034,'',0
1473509645704102596,,10224,,1473509645,697116964,'',0
1473509645712345338,,10225,,1473509645,706116964,'',0
1473509645720458997,,10226,,1473509645,716116964,'',0
1473509645732810961,,10227,,1473509645,725116964,'',0
1473509645740942092,,10228,,1473509645,735116964,'',0
1473509645749283210,,10229,,1473509645,744116964,'',0
1473509645761546111,,10230,,1473509645,754116964,'',0
1473509645769733257,,10231,,1473509645,763116964,'',0
1473509645777873928,,10232,,1473509645,773116964,'',0
1473509645790965764,,10233,,1473509645,782116964,'',0
1473509645802400076,,10234,,1473509645,791116964,'',0
1473509645806920321,,10235,,1473509645,802116964,'',0
1473509645818864609,,10236,,1473509645,812116964,'',0
1473509645827021168,,10237,,1473509645,821116964,'',0
1473509645835185143,,10238,,1473509645,830116964,'',0
1473509645847477443,,10239,,1473509645,840116964,'',0
1473509645855688673,,10240,,1473509645,849116964,'',0
1473509645863844464,,10241,,1473509645,858116964,'',0
1473509645876150312,,10242,,1473509645,868116964,'',0
